"ID","X","Y","SIGLA_PAIS","UC","Garimpo+5k","CD_MUN","NM_MUN","UF","Bacia Hidr","Reg ANAC","CIAD"
1373,-55.054245,-13.074534,"BRA",,"NÃO",5106240,"Nova Ubiratã","MT","Xingu","SIM","MT0581"
615,-53.610579,-6.420755,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
170,-52.079879,-9.39461,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
2009,-52.04437,-13.255333,"BRA",,"NÃO",5102702,"Canarana","MT","Xingu","SIM","MT0328"
2062,-52.544118,-10.276471,"BRA",,"NÃO",5107743,"Santa Cruz do Xingu","MT","Xingu","NÃO",
1542,-54.132937,-10.007614,"BRA",,"NÃO",5105606,"Matupá","MT","Xingu","NÃO",
270,-53.422869,-12.604448,"BRA",,"NÃO",5103858,"Gaúcha do Norte","MT","Xingu","NÃO",
2172,-53.473839,-10.562067,"BRA",,"NÃO",5106422,"Peixoto de Azevedo","MT","Xingu","SIM","MT0589"
2162,-52.279579,-10.72081,"BRA",,"NÃO",5107354,"São José do Xingu","MT","Xingu","SIM","MT0135"
221,-54.005991,-9.504284,"BRA",,"NÃO",1500602,"Altamira","PA","Xingu","NÃO",
1253,-52.253586,-3.252883,"BRA",,"NÃO",1500602,"Altamira","PA","Xingu","SIM","PA0003"
1851,-55.074747,-13.070309,"BRA",,"NÃO",5106240,"Nova Ubiratã","MT","Xingu","NÃO",
1450,-52.52669,-12.800976,"BRA",,"NÃO",5102702,"Canarana","MT","Xingu","SIM","MT0164"
1894,-54.209008,-11.263064,"BRA",,"NÃO",5105580,"Marcelândia","MT","Xingu","NÃO",
2060,-52.034405,-10.208565,"BRA",,"NÃO",5103353,"Confresa","MT","Xingu","NÃO",
165,-54.214146,-8.66818,"BRA",,"NÃO",1500602,"Altamira","PA","Xingu","NÃO",
35,-52.622524,-5.776349,"BRA","PARQUE NACIONAL DA SERRA DO PARDO","SIM",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
883,-53.434941,-5.798682,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
111,-51.473568,-8.023151,"BRA",,"SIM",1505437,"Ourilândia do Norte","PA","Xingu","NÃO",
2289,-50.655603,-7.708588,"BRA",,"SIM",1501253,"Bannach","PA","Xingu","NÃO",
2630,-52.558299,-10.135386,"BRA",,"NÃO",5107743,"Santa Cruz do Xingu","MT","Xingu","SIM","MT0498"
120,-52.569582,-7.210393,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","SIM","PA0062"
123,-52.122248,-8.140421,"BRA",,"NÃO",1505437,"Ourilândia do Norte","PA","Xingu","SIM","PA0148"
624,-53.484013,-5.943633,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
1475,-52.250749,-11.559327,"BRA",,"NÃO",5107859,"São Félix do Araguaia","MT","Xingu","SIM","MT0315"
2586,-52.411456,-11.513224,"BRA",,"NÃO",5107859,"São Félix do Araguaia","MT","Xingu","SIM","MT0618"
1179,-51.362635,-9.2839,"BRA",,"NÃO",1502764,"Cumaru do Norte","PA","Xingu","SIM","PA0347"
1441,-54.267894,-12.940244,"BRA",,"NÃO",5106307,"Paranatinga","MT","Xingu","SIM","MT0574"
2912,-54.443711,-11.791509,"BRA",,"NÃO",5108303,"União do Sul","MT","Xingu","SIM","MT0206"
1710,-53.514259,-10.407627,"BRA",,"NÃO",5106422,"Peixoto de Azevedo","MT","Xingu","SIM","MT0226"
638,-53.338431,-6.208907,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
928,-49.75459,-9.957834,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO","NÃO",1717503,"Pium","TO","Araguaia","SIM","TO0024"
2760,-51.364076,-15.055502,"BRA",,"NÃO",5203807,"Britânia","GO","Araguaia","SIM","GO0197"
925,-49.590583,-9.432055,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO","NÃO",1707108,"Divinópolis do Tocantins","TO","Araguaia","SIM","TO0038"
1869,-50.978216,-12.296024,"BRA",,"NÃO",5106315,"Novo Santo Antônio","MT","Araguaia","NÃO",
2913,-52.129395,-15.226611,"BRA",,"NÃO",5101803,"Barra do Garças","MT","Araguaia","SIM","MT0379"
